,idt,name,category,description,city,country,latitude,longitude,year_founded,employees,total_money_raised
565,52cdef7c4bab8bd675298457,Ifbyphone,software,Voice-Based Marketing Automation,Chicago,USA,42.040851,-87.750643,2005,90.0,$30.3M
566,52cdef7c4bab8bd67529845b,LiveRail,advertising,video advertising technology,San Francisco,USA,37.787183,-122.397759,2008,110.0,$12M
567,52cdef7c4bab8bd67529845d,Generate,games_video,Cross platform production & management,Santa Monica,USA,34.031328,-118.471463,2004,,$8M
568,52cdef7c4bab8bd67529845d,Generate,games_video,Cross platform production & management,New York,USA,40.7570972,-73.969821,2004,,$8M
569,52cdef7c4bab8bd675298460,OpenDNS,security,Cloud Based Internet Security Provider,San Francisco,USA,37.789268,-122.395184,2005,200.0,$16.3M
570,52cdef7c4bab8bd675298461,Paxfire,,,Sterling,USA,38.988367,-77.421054,2003,,$2.2M
571,52cdef7c4bab8bd675298463,Kareo,software,Medical SaaS,Irvine,USA,33.676444,-117.8587,2004,250.0,$51.4M
572,52cdef7c4bab8bd67529846a,VZnet Netzwerke,web,German Social Network,Berlin,DEU,52.5290751,13.4161514,2005,300.0,$0
573,52cdef7c4bab8bd67529847b,Rutube,web,Russian Video Portal,Moscow,RUS,52.78945,36.42735,2006,80.0,$0
574,52cdef7c4bab8bd675298482,Footnote,web,Online document archives,Lindon,USA,40.3310529,-111.7276347,2006,66.0,$10M
575,52cdef7c4bab8bd675298484,Coveo,enterprise,Enterprise search solutions,Vernon Hills,USA,37.446078,-122.167506,2005,,$34.7M
577,52cdef7c4bab8bd675298488,Vovici,enterprise,Survey software company,Dulles,USA,38.983393,-77.434128,2006,100.0,$16.3M
578,52cdef7c4bab8bd675298488,Vovici,enterprise,Survey software company,Kingston Upon Thames,GBR,51.4140631,-0.3016459,2006,100.0,$16.3M
580,52cdef7c4bab8bd6752984a5,PI Corporation,network_hosting,Personal Data Cloud Storage,Seattle,USA,47.602416,-122.332614,2003,,$9.4M
581,52cdef7c4bab8bd6752984b0,Giant Realm,web,Media Hosting,New York,USA,40.7566658,-73.9827553,2007,,$5.5M
582,52cdef7c4bab8bd6752984b1,Mobenga,mobile,Makes betting mobile,Malmö,SWE,56.154292,13.813313,2005,70.0,$0
585,52cdef7c4bab8bd6752984d1,Clickpass,web,,San Francisco,USA,37.775196,-122.419204,2007,90.0,$20k
586,52cdef7c4bab8bd6752984d2,Janrain,web,User Management Platform,Portland,USA,45.484413,-122.675838,2005,,$51.8M
587,52cdef7c4bab8bd6752984d4,SearchMe,search,visual search engine,Mountain View,USA,37.386665,-122.084171,2005,52.0,$43.6M
588,52cdef7c4bab8bd6752984d4,SearchMe,search,visual search engine,San Francisco,USA,37.793473,-122.402667,2005,52.0,$43.6M
589,52cdef7c4bab8bd6752984e2,AccountNow,web,,San Ramon,USA,37.769922,-122.001446,2003,,$34.1M
590,52cdef7c4bab8bd6752984e7,TalkShoe,web,,Wexford,USA,40.616311,-80.059548,2005,,$1.13M
591,52cdef7c4bab8bd6752984e9,Workday,enterprise,"human resources, financial management",Pleasanton,USA,37.694202,-121.921532,2005,900.0,$175M
593,52cdef7c4bab8bd6752984f6,PopularMedia,advertising,Online ad campaign management,San Francisco,USA,37.767575,-122.411157,2003,,$12.3M
594,52cdef7c4bab8bd6752984fb,Clarizen,software,Work & Project management software,San Mateo,USA,37.536044,-122.328401,2005,110.0,$56M
596,52cdef7c4bab8bd6752984fc,Next New Networks,web,Micro television network platform,New York,USA,40.743808,-73.983626,2007,121.0,$27.1M
597,52cdef7c4bab8bd675298514,Zuora,software,Subscription billing and management,Foster City,USA,37.5596277,-122.2709868,2007,250.0,$128M
599,52cdef7c4bab8bd67529851b,Jivox,advertising,Interactive video advertising platform.,Redwood City,USA,37.555962,-122.288006,2007,60.0,$25.6M
600,52cdef7c4bab8bd675298521,ShareThis,social,"sharing network, social influence",Palo Alto,USA,37.4203945,-122.0872274,2007,80.0,$82.9M
601,52cdef7c4bab8bd675298535,Elastra,software,software company,San Francisco,USA,37.791137,-122.391843,2007,,$14.6M
602,52cdef7c4bab8bd675298538,Star Analytics,software,Business Intelligence Software,San Mateo,USA,37.556152,-122.281484,2004,,$3.5M
604,52cdef7c4bab8bd675298540,SupplyFrame,advertising,Online marketing for electronics,Pasadena,USA,34.143885,-118.151542,2003,60.0,$15.5M
605,52cdef7c4bab8bd675298541,Scalent Systems,public_relations,virtualization software,Palo Alto,USA,37.429676,-122.1085482,2003,,$15M
607,52cdef7c4bab8bd67529854d,Playfish,games_video,Social games company,London,GBR,51.4991094,-0.1984802,2007,,$21M
608,52cdef7c4bab8bd67529854d,Playfish,games_video,Social games company,TromsÃ¸,NOR,69.636216,18.931062,2007,,$21M
609,52cdef7c4bab8bd675298561,Octopart,search,Vertical Search Engine,New York,USA,37.750608,-122.423581,2007,,$300k
610,52cdef7c4bab8bd675298577,Tapioca Mobile,mobile,Mobile rich Media,San Diego,USA,32.88945,-117.166929,2008,,$5M
611,52cdef7c4bab8bd67529858e,Slicethepie,games_video,Fundraising Software,,GBR,55.378051,-3.435973,2007,,$4.8M
612,52cdef7c4bab8bd675298590,ShowClix,web,Online event ticketing solutions,Pittsburgh,USA,40.517948,-79.842487,2007,,$4.05M
613,52cdef7c4bab8bd675298591,Handipoints,games_video,Chore point system for kids,Oakland,USA,37.772323,-122.214897,2009,,$800k
614,52cdef7c4bab8bd6752985a1,ScanCafe,web,,Burlingame,USA,37.592584,-122.369676,2006,350.0,$4M
615,52cdef7c4bab8bd6752985a5,liveBooks,public_relations,Creative CMS,Sausalito,USA,37.8712444,-122.5036866,2005,53.0,$5M
618,52cdef7c4bab8bd6752985a9,KidZui,web,Web browser designed for kids,San Diego,USA,37.09024,-95.712891,2006,,$18.4M
619,52cdef7c4bab8bd6752985ac,Moblica,mobile,,Tel Aviv,ISR,32.0554,34.7595,2011,,$6M
620,52cdef7c4bab8bd6752985c2,Act-On Software,enterprise,Integrated marketing platform,Beaverton,USA,45.484177,-122.79635,2008,,$30.5M
624,52cdef7c4bab8bd6752985d0,Dimdim,web,,Lowell,USA,42.6161515,-71.3258687,2006,,$8.4M
626,52cdef7c4bab8bd6752985e4,OrangeSoda,advertising,Small business online marketing,American Fork,USA,40.358294,-111.780243,2006,160.0,$7.5M
627,52cdef7c4bab8bd6752985e6,Aternity,enterprise,end user experience management,Westborough,USA,42.279967,-71.5827673,2004,,$25.5M
628,52cdef7c4bab8bd6752985e7,Networked Insights,analytics,Marketing Decisions Platform,Madison,USA,41.278528,-72.5254318,2006,130.0,$38.4M
629,52cdef7c4bab8bd6752985e7,Networked Insights,analytics,Marketing Decisions Platform,New York,USA,40.745559,-73.986243,2006,130.0,$38.4M
630,52cdef7c4bab8bd6752985e7,Networked Insights,analytics,Marketing Decisions Platform,Chicago,USA,41.879979,-87.634173,2006,130.0,$38.4M
631,52cdef7c4bab8bd675298608,Magento,ecommerce,eCommerce Platform,Los Angeles,USA,34.052187,-118.243425,2010,275.0,$22.5M
632,52cdef7c4bab8bd675298609,Netbooks,web,,San Francisco,USA,37.79471,-122.40195,2006,,$16.4M
633,52cdef7c4bab8bd67529862d,babbel,education,Learn Languages Online,Berlin,DEU,52.4897,13.38861,2007,205.0,$10M
634,52cdef7c4bab8bd675298631,7digital,music,Digital Media Delivery,London,GBR,51.5254,-0.083726,2004,120.0,$20.1M
635,52cdef7c4bab8bd675298646,Kannuu,software,Stop Searching Start Finding,Dallas,USA,32.9249424,-96.7679229,2007,,$2M
636,52cdef7c4bab8bd675298650,Wikimedia Foundation,nonprofit,Open source information distribution,San Francisco,USA,37.76785,-122.392839,2003,143.0,$74M
637,52cdef7c4bab8bd675298651,Clearwell Systems,software,Computer Software,Mountain View,USA,37.398022,-122.049143,2004,210.0,$29M
638,52cdef7c4bab8bd67529865a,Become,search,Shoping and comparison service,Sunnyvale,USA,37.424801,-122.07259,2004,,$37.2M
640,52cdef7c4bab8bd675298664,Business Insider,web,Business News reporter,New York,USA,40.73906,-73.990911,2007,,$18.6M
641,52cdef7c4bab8bd675298666,The Echo Nest,music,Music Intelligence Company,Somerville,USA,42.396495,-71.12045,2005,65.0,$25.6M
643,52cdef7c4bab8bd67529866c,BeInSync,network_hosting,Backup Data Storage,Tel Aviv,ISR,32.0554,34.7595,2004,,$8M
645,52cdef7c4bab8bd675298671,Perfect Market,software,Digital Publishing Software & Services,Pasadena,USA,34.146436,-118.153136,2007,60.0,$30.6M
647,52cdef7c4bab8bd675298672,iovation,security,Online Fraud Detection,Portland,USA,45.52254,-122.675536,2004,65.0,$15M
648,52cdef7c4bab8bd67529867a,Glassdoor,web,Jobs and Career Community,Sausalito,USA,37.868002,-122.500111,2007,180.0,$91.5M
649,52cdef7c4bab8bd675298690,itzbig,search,,Austin,USA,30.387275,-97.759511,2006,,$4M
650,52cdef7c4bab8bd675298696,Marketo,software,Marketing Automation Software,San Mateo,USA,37.5583,-122.301385,2006,260.0,$108M
651,52cdef7c4bab8bd675298698,Bonobos,ecommerce,E-commerce driven men's retailer,New York,USA,40.7384997,-73.9954585,2007,150.0,$74.7M
652,52cdef7c4bab8bd67529869e,Edmodo,education,Social learning network,San Mateo,USA,41.857915,-88.321171,2008,100.0,$40M
654,52cdef7c4bab8bd6752986b1,Xoopit,web,Email management add-on,San Francisco,USA,37.7617955,-122.4092704,2004,,$6.5M
655,52cdef7c4bab8bd6752986b8,Reality Digital,software,White Label Social Media,Berkeley,USA,37.859443,-122.291817,2003,,$8.3M
656,52cdef7c4bab8bd6752986bb,Q-Layer,software,Datacenter Management,Lochristi,BEL,51.070829,3.771122,2005,,€10.3M
657,52cdef7c4bab8bd6752986c1,Adlucent,software,,Austin,USA,30.316226,-97.71813,2005,85.0,$0
658,52cdef7c4bab8bd6752986c5,Metaversum,web,Virtual world providor,Berlin,DEU,52.512249,13.419841,2006,,$6.26M
659,52cdef7c4bab8bd6752986cb,Placecast,mobile,,San Francisco,USA,37.773688,-122.423468,2005,,$8M
661,52cdef7c4bab8bd675298709,Egnyte,enterprise,Hybrid Cloud File Sharing for Business,Mountain View,USA,37.429647,-122.100288,2006,,$66.7M
662,52cdef7c4bab8bd675298710,Jodange,web,Business prediction company,Yonkers,USA,40.934803,-73.901839,2007,,$1.2M
664,52cdef7c4bab8bd67529873e,Odeo,web,,New York,USA,40.753918,-73.981237,2005,60.0,$0
665,52cdef7c4bab8bd675298740,Cellfish,web,Global Mobile Media Publisher,New York,USA,40.761855,-73.983754,2004,220.0,$60M
666,52cdef7c4bab8bd675298743,eSolar,cleantech,Solar Thermal Power Plant,Pasadena,USA,34.146436,-118.153136,2007,140.0,$192M
667,52cdef7c4bab8bd675298745,Krugle,search,Source Code Search enging,Menlo Park,USA,37.45604,-122.165399,2006,,$6.1M
668,52cdef7c4bab8bd675298752,Marin Software,advertising,Online Advertising Management,San Francisco,USA,37.792083,-122.3946404,2006,,$100M
669,52cdef7c4bab8bd675298754,Huddle,enterprise,Cloud Content Collaboration,London,GBR,51.4999065,-0.0814873,2006,200.0,$38.2M
670,52cdef7c4bab8bd675298754,Huddle,enterprise,Cloud Content Collaboration,San Francisco,USA,37.78236,-122.403256,2006,200.0,$38.2M
672,52cdef7c4bab8bd67529875c,SiBEAM,mobile,fabless semiconductor company,Sunnyvale,USA,37.390704,-122.03039,2004,,$114M
673,52cdef7c4bab8bd675298788,RichRelevance,ecommerce,Personalization Provider,San Francisco,USA,37.7938969,-122.4000965,2006,250.0,$57.8M
678,52cdef7c4bab8bd67529878a,Someecards,web,Free online greeting cards,New York,USA,40.737778,-73.979508,2007,,$350k
679,52cdef7c4bab8bd67529878d,mySupermarket,web,Online Shopping Comparison,New York,USA,53.478714,-2.244824,2006,,$32.8M
680,52cdef7c4bab8bd67529878d,mySupermarket,web,Online Shopping Comparison,London,GBR,51.513671,-0.159205,2006,,$32.8M
682,52cdef7c4bab8bd67529879a,Labmeeting,web,online platform for scientists,,USA,37.269175,-119.306607,2007,,$500k
683,52cdef7c4bab8bd67529879c,Trovit,ecommerce,,Barcelona,ESP,41.388769,2.1299487,2006,56.0,€600k
684,52cdef7c4bab8bd6752987a5,PixelCrayons,web,Web Design and Development Company,New York,USA,28.682042,77.087502,2004,200.0,$0
685,52cdef7c4bab8bd6752987a8,mediaFORGE,advertising,Ad retargeting & measurement,Salt Lake City,USA,40.634468,-111.804504,2005,,$1.5M
687,52cdef7c4bab8bd6752987cf,ProcServe,ecommerce,Hosted eProcurement Solutions ,London,GBR,51.494067,-0.146665,2006,55.0,$0
688,52cdef7c4bab8bd6752987d5,Mojiva,mobile,Mobile Advertising,New York,USA,40.7185614,-73.998662,2008,105.0,$45.8M
694,52cdef7c4bab8bd6752987f1,GitHub,software,Social Coding,San Francisco,USA,37.775196,-122.419204,2008,106.0,$100M
695,52cdef7c4bab8bd6752987f2,YUPPTV,games_video,"Watch your favorite live tv on internet,",Alpharetta,USA,17.415429,78.434422,2008,70.0,$0
696,52cdef7c4bab8bd6752987fd,Iminent,software,Instant messaging products,Paris,FRA,48.8522431,2.387422,2006,,€5.4M
697,52cdef7c4bab8bd675298812,AdXpose,advertising,Advertising Quality and Optimization,Seattle,USA,47.635354,-122.340459,2005,,$22.8M
700,52cdef7c4bab8bd675298837,Globant,software,Innovative Software Product Creation,Buenos Aires,ARG,-34.5967236,-58.3708904,2003,2800.0,$28M
701,52cdef7c4bab8bd675298837,Globant,software,Innovative Software Product Creation,Hopkinton,USA,42.2261823,-71.5174869,2003,2800.0,$28M
702,52cdef7c4bab8bd675298837,Globant,software,Innovative Software Product Creation,London,GBR,51.5205095,-0.0952197,2003,2800.0,$28M
703,52cdef7c4bab8bd675298837,Globant,software,Innovative Software Product Creation,San Francisco,USA,37.7819286,-122.4041764,2003,2800.0,$28M
705,52cdef7c4bab8bd675298837,Globant,software,Innovative Software Product Creation,Sao Paulo,BRA,-23.5606195,-46.6816579,2003,2800.0,$28M
706,52cdef7c4bab8bd675298837,Globant,software,Innovative Software Product Creation,Bogota,COL,4.7595921,-74.0632101,2003,2800.0,$28M
707,52cdef7c4bab8bd675298837,Globant,software,Innovative Software Product Creation,Montevideo,URY,-34.8836111,-56.1819444,2003,2800.0,$28M
709,52cdef7c4bab8bd675298837,Globant,software,Innovative Software Product Creation,La Plata,ARG,-34.6776448,-58.3840599,2003,2800.0,$28M
710,52cdef7c4bab8bd675298837,Globant,software,Innovative Software Product Creation,Tandil,ARG,-37.3281072,-59.1340915,2003,2800.0,$28M
711,52cdef7c4bab8bd675298837,Globant,software,Innovative Software Product Creation,Resistencia,ARG,-27.4533887,-58.9871056,2003,2800.0,$28M
712,52cdef7c4bab8bd675298837,Globant,software,Innovative Software Product Creation,Tucuman,ARG,-26.8007888,-65.3024825,2003,2800.0,$28M
713,52cdef7c4bab8bd675298837,Globant,software,Innovative Software Product Creation,Bahía Blanca,ARG,-38.7211371,-62.2690974,2003,2800.0,$28M
714,52cdef7c4bab8bd67529883c,RealMatch,advertising,Recruitment Ad Networks,New York,USA,39.047912,-77.19544,2004,,$11.7M
715,52cdef7c4bab8bd67529883d,Collective Intellect,enterprise,Real-time market intelligence,Boulder,USA,40.0186313,-105.2764361,2005,,$15.3M
716,52cdef7c4bab8bd675298841,AdShuffle,advertising,,Irving,USA,32.860831,-96.9403,2005,90.0,$0
717,52cdef7c4bab8bd675298850,Apture,web,Rich multimedia linking,San Francisco,USA,37.566042,-122.322954,2007,,$4.6M
719,52cdef7c4bab8bd675298857,InMobi,mobile,Mobile advertising network,San Francisco,USA,37.4465496,-122.1709208,2007,900.0,$216M
720,52cdef7c4bab8bd675298857,InMobi,mobile,Mobile advertising network,Singapore,SGP,1.284082,103.851942,2007,900.0,$216M
727,52cdef7c4bab8bd675298873,TigerLogic,social,Social Mobile Platforms,"Irvine,",USA,33.651624,-117.739227,2008,120.0,$0
728,52cdef7d4bab8bd6752988a5,Health Plan One,web,Online health insurance marketplace,Shelton,USA,41.262403,-73.135894,2006,,$6.5M
729,52cdef7d4bab8bd6752988ac,Modern Feed,games_video,,Los Angeles,USA,34.085749,-118.343791,2007,123.0,$3M
730,52cdef7d4bab8bd6752988ec,Retail Convergence,ecommerce,Portfolio of ecommerce applications,Boston,USA,42.35888,-71.05682,2008,,$25M
731,52cdef7d4bab8bd675298900,OPEN Sports Network,sports,Crowdsourced Sports Network,Deerfield Beach,USA,26.310509,-80.127087,2007,,$5.22M
732,52cdef7d4bab8bd675298908,TuneWiki,music,social media player,Santa Monica,USA,37.412577,-121.916861,2007,,$10M
733,52cdef7d4bab8bd67529891b,Spotify,music,Music streaming over the internet,Luxembourg,LUX,49.607295,6.121511,2006,5000.0,$533M
740,52cdef7d4bab8bd675298922,Adify,advertising,Self Service Ad Network,San Bruno,USA,37.629393,-122.424975,2006,120.0,$27M
741,52cdef7d4bab8bd675298925,InvenSense,semiconductor,motion processing solutions,San Jose,USA,37.407445,-122.019405,2003,400.0,$38M
746,52cdef7d4bab8bd675298927,Wigix,ecommerce,,,USA,37.09024,-95.712891,2007,,$5.34M
747,52cdef7d4bab8bd675298939,Center'd,web,Local Things To Do,Menlo Park,USA,37.452992,-122.185098,2006,,$10.4M
748,52cdef7d4bab8bd67529893a,Indochino,ecommerce,Custom Menswear,"Vancouver, BC",CAN,48.487589,-123.337608,2007,,$17.3M
749,52cdef7d4bab8bd67529893c,Kabam,games_video,Leader in Gaming,San Francisco,USA,37.3944561,-122.0785314,2006,650.0,$125M
751,52cdef7d4bab8bd67529893d,Pontiflex,advertising,Mobile and Online Signup Ads Platform,Brooklyn,USA,40.702692,-73.989613,2008,,$8.75M
753,52cdef7d4bab8bd675298954,ImportGenius,search,International Trade Records Search,Shanghai,CHN,31.251516,121.459147,2008,75.0,$0
754,52cdef7d4bab8bd675298955,Mind Candy,web,,London,GBR,51.471958,-0.147646,2003,,$10M
755,52cdef7d4bab8bd67529895a,kajeet,mobile,Teen Mobile Virtual Network,Bethesda,USA,38.9806,-77.1008,2003,,$65.9M
756,52cdef7d4bab8bd675298961,New Relic,software,SaaS Application Performance Management,San Francisco,USA,37.269175,-119.306607,2008,63.0,$175M
757,52cdef7d4bab8bd675298966,Velocify,software,Intelligent Sales Software,El Segundo,USA,33.9192583,-118.3952969,2004,125.0,$20.3M
758,52cdef7d4bab8bd675298970,Pixsta,web,Visual Search for ecommerce,London,GBR,51.51819,-0.208979,2010,,£3M
759,52cdef7d4bab8bd675298978,Tripwolf,web,Social travel guide and planner,Vienna,AUT,48.220357,16.355,2007,,$2.5M
760,52cdef7d4bab8bd67529897f,PatientsLikeMe,health,Healthcare Network,Cambridge,USA,42.3674989,-71.0793952,2004,200.0,$27M
761,52cdef7d4bab8bd675298985,Zinch,web,Connecting students with opportunities,San Francisco,USA,40.234451,-111.658656,2007,80.0,$5M
764,52cdef7d4bab8bd675298992,GodTube,games_video,video-driven Christian social network,Plano,USA,33.075067,-96.823962,2007,,$32.5M
767,52cdef7d4bab8bd6752989c3,OVGuide,games_video,guide to online video sites,Los Angeles,USA,34.052187,-118.243425,2006,,$7.98M
769,52cdef7d4bab8bd6752989d3,FuGen Solutions,web,,Sunnyvale,USA,37.384239,-122.012475,2006,,$925k
770,52cdef7d4bab8bd6752989e0,Talend,analytics,Open source integration software,Los Altos,USA,37.371908,-122.111711,2005,400.0,$102M
771,52cdef7d4bab8bd6752989e1,SnapLogic,enterprise,The Cloud Integration Company,San Mateo,USA,37.558245,-122.302654,2006,,$34.8M
772,52cdef7d4bab8bd6752989ea,Wirama,hardware,,Sunnyvale,USA,37.384239,-122.012475,2006,,$1M
773,52cdef7d4bab8bd6752989ec,EatLime,photo_video,Video/Photo upload and distribution site,San Francisco,USA,37.7749295,-122.4194155,2007,,$3.38M
774,52cdef7d4bab8bd6752989fd,Cartedge,software,,Midvale,USA,40.622919,-111.900917,2006,100.0,$0
775,52cdef7d4bab8bd675298a02,sevenload,games_video,Internet Television Social Network,Cologne,DEU,50.945289,6.921546,2006,67.0,€25M
776,52cdef7d4bab8bd675298a05,NewsCred,advertising,,New York,USA,46.223157,6.124424,2008,70.0,$21.8M
777,52cdef7d4bab8bd675298a05,NewsCred,advertising,,Dhaka,BGD,23.709921,90.407143,2008,70.0,$21.8M
778,52cdef7d4bab8bd675298a12,Boardwalktech,software,,Palo Alto,USA,37.431941,-122.103076,2004,75.0,$500k
779,52cdef7d4bab8bd675298a14,amazingtunes,games_video,,Newcastle Upon Tyne,GBR,54.971346,-1.611141,2006,,£1.4M
780,52cdef7d4bab8bd675298a27,ClairMail,finance,Mobile banking,San Rafael,USA,38.057107,-122.513742,2004,,$34.1M
781,52cdef7d4bab8bd675298a30,FIRST ROI,advertising,emarketing for banks & credit unions,Austin,USA,30.432421,-97.732059,2006,100.0,$0
782,52cdef7d4bab8bd675298a34,Appfolio,real_estate,Property management,Goleta,USA,34.433463,-119.863565,2006,,$30M
783,52cdef7d4bab8bd675298a35,BioIQ,biotech,,Santa Barbara,USA,34.424185,-119.704902,2005,,$493k
784,52cdef7d4bab8bd675298a3b,CitizenHawk,advertising,digital brand management solutions,Aliso Viejo,USA,33.571604,-117.734795,2006,,$3M
786,52cdef7d4bab8bd675298a50,Passenger,social,SaaS Private Online InnovatioCommunities,Los Angeles,USA,34.029956,-118.308943,2005,,$25.6M
788,52cdef7d4bab8bd675298a52,IP Commerce,network_hosting,Open commerce network,Denver,USA,39.74893,-104.99342,2005,,$44M
789,52cdef7d4bab8bd675298a53,TuneUp,music,,San Francisco,USA,37.7654195,-122.4119381,2007,,$15.6M
790,52cdef7d4bab8bd675298a55,SimpleTuition,finance,Student loan search,Boston,USA,42.297418,-71.214796,2005,,$31M
791,52cdef7d4bab8bd675298a56,Sparkroom,advertising,Marketing Analytics,Toronto,CAN,43.6683,-79.385969,2007,,$4M
792,52cdef7d4bab8bd675298a57,Tyfone,mobile,mobile financial services,Portland,USA,45.5105,-122.674995,2004,,$5.3M
793,52cdef7d4bab8bd675298aa0,Raydiance,manufacturing,,Chevy Chase,USA,38.96524,-77.083389,2004,,$49.3M
794,52cdef7d4bab8bd675298aaf,Tiny Prints,ecommerce,Premium Personalized Stationery,Sunnyvale,USA,37.395902,-122.056739,2004,250.0,$0
796,52cdef7d4bab8bd675298ab2,BusinessCard2,web,Virtual Business Cards,Minneapolis,USA,45.004089,-93.250179,2006,,$1.7M
797,52cdef7d4bab8bd675298abb,SocialVibe,advertising,Engagement Advertising,Los Angeles,USA,34.0815238,-118.3826743,2007,80.0,$43.9M
801,52cdef7d4bab8bd675298ae3,NextBio,enterprise,Life science Informatics,Santa Clara,USA,37.316653,-122.05074,2004,75.0,$16.1M
802,52cdef7d4bab8bd675298ae4,Parascale,network_hosting,Cloud Storage software ,Cupertino,USA,37.316653,-122.05074,2005,,$11.4M
803,52cdef7d4bab8bd675298ae6,Zoosk,social,Behavioral Matchmaking(TM),San Francisco,USA,37.7726402,-122.4099154,2007,,$61.6M
804,52cdef7d4bab8bd675298ae7,Aquantia,semiconductor,Semiconductor Company,Milpitas,USA,37.4130233,-121.9175461,2004,,$138M
805,52cdef7d4bab8bd675298ae8,Aprius,hardware,Server technology,Washington,USA,47.6409655,-117.5357108,2006,,$22M
806,52cdef7d4bab8bd675298aff,Kenriche Technologies,advertising,,Chennai,IND,13.1620756,80.2586406,2006,55.0,$0
808,52cdef7d4bab8bd675298b05,ClearContext,software,,Englewood,USA,39.6523451,-104.9832304,2003,,$500k
809,52cdef7d4bab8bd675298b1f,Ztail,ecommerce,resale price protection,Palo Alto,USA,37.44931,-122.160011,2005,,$1.5M
810,52cdef7d4bab8bd675298b26,AirCell,messaging,,Itasca,USA,41.989344,-88.004903,2005,,$276M
811,52cdef7d4bab8bd675298b29,Row44,network_hosting,aircraft broadband connectivity,Westlake Village,USA,34.143152,-118.80146,2004,,$103M
813,52cdef7d4bab8bd675298b37,Bizo,advertising,Business Audience Marketing ,San Francisco,USA,37.7911186,-122.4011706,2008,66.0,$28.5M
814,52cdef7d4bab8bd675298b39,Lightfleet,hardware,,Camas,USA,45.63256,-122.462093,2003,55.0,$0
815,52cdef7d4bab8bd675298b4c,Sonico,social,Voice and digital entertainment websites,Buenos Aires,ARG,-34.611781,-58.417309,2007,84.0,$6M
818,52cdef7d4bab8bd675298b4f,eBureau,analytics,,St. Cloud,USA,45.560899,-94.159452,2004,55.0,$38M
819,52cdef7d4bab8bd675298b52,Moblyng,games_video,HTML5 Social Games,Redwood City,USA,37.453665,-122.229069,2005,,$19.1M
820,52cdef7d4bab8bd675298b60,Sirtris Pharmaceuticals,biotech,Biopharmaceutical Company,Cambridge,USA,42.363567,-71.091189,2004,,$82M
821,52cdef7d4bab8bd675298b66,Knewton,education,Adaptive Learning Platform,New York,USA,40.7310476,-74.0078134,2008,145.0,$105M
822,52cdef7d4bab8bd675298b6a,AtHoc,security,Interactive Crisis Communication,San Mateo,USA,37.560747,-122.284001,2005,150.0,$8.2M
823,52cdef7d4bab8bd675298b76,CoverItLive,web,Liveblogging tool,Austin,USA,43.6378576,-79.4255306,2007,,$1M
824,52cdef7d4bab8bd675298ba8,Campus Explorer,search,college search engine,Santa Monica,USA,34.031178,-118.463841,2007,,$7.25M
825,52cdef7d4bab8bd675298bb5,C4Media,other,,Toronto,CAN,43.670233,-79.386755,2005,61.0,$0
826,52cdef7d4bab8bd675298bd9,PurePlay,games_video,play-for-cash online poker game,San Francisco,USA,37.775196,-122.419204,2004,,$15M
827,52cdef7d4bab8bd675298c05,GreenNote,web,Student Lending Site,Mather,USA,37.492685,-122.227765,2007,65.0,$4.2M
828,52cdef7d4bab8bd675298c16,Aptera,automotive,,Carlsbad,USA,33.133524,-117.254593,2003,,$36.3M
830,52cdef7d4bab8bd675298c2a,M:Metrics,mobile,Mobile Media Measurements,Seattle,USA,47.620716,-122.347533,2004,,$18M
831,52cdef7d4bab8bd675298c2f,B-hive Networks,software,Infrastructure Manager,San Mateo,USA,37.536402,-122.325129,2005,,$7.5M
832,52cdef7d4bab8bd675298c47,Intelius,web,,Bellevue,USA,47.614723,-122.196262,2003,131.0,$0
834,52cdef7d4bab8bd675298c61,TeleFlip,mobile,Mobile Email,Santa Monica,USA,34.01695,-118.451933,2004,,$4.9M
836,52cdef7d4bab8bd675298c7d,Jigsaw,web,,San Mateo,USA,37.552806,-122.291602,2003,,$18M
837,52cdef7d4bab8bd675298c7f,NetProspex,analytics,Verified B2B Contacts,Waltham,USA,42.375034,-71.251069,2006,,$14.5M
838,52cdef7d4bab8bd675298c81,Backblaze,software,,Palo Alto,USA,37.44296,-122.151198,2007,,$5M
840,52cdef7d4bab8bd675298c86,Ozmo Devices,hardware,WiFi Communication Technology Developer,Palo Alto,USA,37.446152,-122.117722,2004,,$37.5M
845,52cdef7d4bab8bd675298caa,TuneCore,games_video,,Brooklyn,USA,40.704382,-73.986572,2005,,$7M
846,52cdef7d4bab8bd675298cae,Cooliris,web,Immersive media experiences,Palo Alto,USA,37.421447,-122.141604,2006,,$28.1M
847,52cdef7d4bab8bd675298cba,Gamook,games_video,Online Game Sharing,Menlo Park,USA,37.41924,-122.208414,2008,,$1.5M
848,52cdef7d4bab8bd675298cc1,Vindicia,analytics,SaaS Marketing & Billing,Belmont,USA,37.538418,-122.252115,2003,100.0,$37.6M
849,52cdef7d4bab8bd675298cc3,WSO2,software,Lean enterprise middleware vendor,Palo Alto,USA,37.390918,-122.080843,2005,228.0,$20.5M
850,52cdef7d4bab8bd675298cc3,WSO2,software,Lean enterprise middleware vendor,,GBR,50.8472228,-0.919424,2005,228.0,$20.5M
852,52cdef7d4bab8bd675298cce,Dizzywood,games_video,Tween Virtual World,,USA,37.269175,-119.306607,2007,,$2M
853,52cdef7d4bab8bd675298cd0,BumpTop,software,3D Desktops,Toronto,CAN,43.648786,-79.3777473,2007,,$1.65M
